The British Raj,Raj,,The period of British colonial rule over South Asia between 1858 and 1947. The British first established rule over India with the formation of the British East India company.  The region of British rule consisted of British administered areas as well as Indian princely states.,http://en.wikipedia.org/wiki/British_Raj,
The Empire Writes Back,,,"Book written by Bill Ashcroft, Gareth Griffiths, and Helen Tiffin published in 1989.",http://www.worldcat.org/oclc/19126684,
trade,,,The transfer of ownership of goods & services from one person or entity to another.,http://en.wikipedia.org/wiki/Trade,
Turko-Mongol,,,Designation for various nomads who were subjects of the Mongol Empire.,http://en.wikipedia.org/wiki/Turko-Mongol,
Ulema,Ulama,,A body of Muslim scholars who are recognized as having specialist knowledge of Islamic sacred law and theology.,http://en.wikipedia.org/wiki/Ulema,
Unani medicine,,,A system of medicine practiced in parts of South Asia thought to be derived via medieval Muslim physicians from Byzantine Greece.,http://en.wikipedia.org/wiki/Unani,
Urdu,,,"An Indic language closely related to Hindi but written in Persian script and having many loanwords from Persian and Arabic. It is the official language of Pakistan, and is also widely used in India and elsewhere",http://en.wikipedia.org/wiki/Urdu,
Usuli,,,A Shia school of thought that emphasizes the need for conformance to the opinion of authorities of Islamic law,http://en.wikipedia.org/wiki/Usuli,
Vaishnavism,,,"A tradition of Hinduism devoted to the worship of Vishnu as the supreme god and his avatars, Rama and Krishna. It is one of the three major forms of Hindu bhakti, devotion to a single god.",http://en.wikipedia.org/wiki/Vaishnavism,
Varna,,,"The categorization of Hindu society into four castes: Brahmins, Kshatriyas, Vaishyas and Shudras",http://en.wikipedia.org/wiki/Varna_(Hinduism),
vernacular,,,The language or dialect spoken by the ordinary people of a country or region,http://en.wikipedia.org/wiki/Vernacular,
Wahhabi,,,"A member of a strictly orthodox Sunni Muslim sect founded by Muhammad ibn Abd al-Wahhab.  Wahhabism advocates a return to the early Islam of the Koran and Sunna, rejecting later innovations.  The sect is still the predominant religious force in Saudi Arabia",http://en.wikipedia.org/wiki/Wahhabi,
welfare economics,,,The branch of economics that analyzes social welfare measured in terms of economic activities of the individual. It uses microeconomic techniques and determines the allocative efficiency and the income distribution within the society.,http://en.wikipedia.org/wiki/Welfare_economics,
westernization,,,"The process whereby societies adopt the cultural, economic, or political systems of Europe and North America.",http://en.wikipedia.org/wiki/Westernisation,
Yemeni,,,An individual from the country of Yemen in the Arab Peninsula,http://en.wikipedia.org/wiki/Yemeni,
Young Bengal,,,"A movement of patriotic and passionate young Bengalis that strove to get rid of British Rule. This group comprised primarily of of radical Bengali free thinkers emerging from Hindu College, Calcutta in the early 19th century. These individuals were also called Derozians after their teacher at the Hindu College, Henry Louis Vivian Derozio. This movement left a distinct mark in Calcutta society in the 1830s and 1840s.",http://en.wikipedia.org/wiki/Young_Bengal,
Zamzam water,,,Water from a well near the Ka'aba in Mecca,http://en.wikipedia.org/wiki/Zamzam_Well,
Bengal Delta,Ganges–Brahmaputra Delta; Sunderbans Delta,,"The river delta in the South Asia region of Bengal, consisting of Bangladesh and the state of West Bengal, India. It is the world's largest delta, and empties into the Bay of Bengal.",http://en.wikipedia.org/wiki/Ganges_Delta,
Jawi Perankan,,,An elite group within the British Malayan community in mid-19th century Malaya.,http://en.wikipedia.org/wiki/Jawi_Peranakan,
Malay,,,"A major language of the Austronesian family. It is the national language of Indonesia, Malaysia, and Brunei, and it is one of four official languages of Singapore.",http://en.wikipedia.org/wiki/Malay_language,
Sanskrit,,,"Sanskrit is a historical Indo-Aryan language, the primary liturgical language of Hinduism and a literary and scholarly language in Buddhism and Jainism.",http://en.wikipedia.org/wiki/Sanskrit,
Telugu,,,Telugu is a Dravidian language predominantly spoken in the Indian state of Andhra Pradesh where it is an official language.,http://en.wikipedia.org/wiki/Telugu_language,
Sejara Melayu,Malay Annals,,A Malay literary work which covers a period of over 600 years that chronicles the genealogies of the rulers in the Malay Archipelago.,http://en.wikipedia.org/wiki/Malay_Annals,
Early Modern Period,,c.1500-1700,The period of modern history that follows the late Middle Ages of the post-classical era.,http://en.wikipedia.org/wiki/Early_modern_period,
Chola Kingdom,"Chola Empire, Chola Dynasty",,"One of the longest-ruling dynasties in the history of southern India. The earliest datable references to this Tamil dynasty are in inscriptions from the 3rd century BC left by Asoka, of the Maurya Empire. As one of the Three Crowned Kings, the dynasty continued to govern over varying territory until the 13th century AD.",http://en.wikipedia.org/wiki/Chola,
Kalinga,,,"Kalinga was an early republic in central-eastern India, which comprised most of the modern state of Odisha, as well as the Andhra region of the bordering state of Andhra Pradesh.  The region was the scene of the bloody Kalinga War fought by the Maurya Emperor Ashoka the Great of Magadha c. 265 BCE.",http://en.wikipedia.org/wiki/Kalinga_(India),
