Lisbon,http://en.wikipedia.org/wiki/Lisbon#,Lisbon,,Portugal,Lisboa,Lisbon,38.729997,-9.129995,,city/town
Morocco,http://www.state.gov/r/pa/ei/bgn/5431.htm#,Morocco,,Morocco,-9999,-9999,31.883625,-6.317846,,country
Kollidam  River,http://en.wikipedia.org/wiki/Kollidam_River#,Kollidam  River,,India,-9999,-9999,11.383333,79.766667,,river
Seringapatam,http://www.srirangapatnatown.gov.in/#,Seringapatam,,India,Karn_taka,Seringapatam,12.419444,76.684444,,city/town
Mysore,http://www.mysorecity.gov.in/#,Mysore,,India,Karn_taka,Mysore,12.301068,76.659199,,city/town
Karn_taka,http://www.karnataka.gov.in/Pages/Default.aspx#,Karn_taka,Mysore,India,Karn_taka,-9999,13.5,76,,state/province
Kachchh,http://kutch.gujarat.gov.in/#,Kachchh,,India,Kachchh,-9999,23.5,70,,state/province
Muscat,"http://en.wikipedia.org/wiki/Muscat,_Oman#",Muscat,,Oman,Masqat,Muscat,23.607,58.588,,city/town
Tiruchirapalli Rock Fort Temple,http://en.wikipedia.org/wiki/Tiruchirapalli_Rock_Fort#,Tiruchirapalli Rock Fort Temple,,India,Tamil Nadu,Tiruchirapalli,10.828061,78.696943,,historic site
Kodagu,http://www.kodagu.nic.in/#,Kodagu,Coorg,India,Karn_taka,-9999,12.25,75.75,,district
Chamundi Temple Mysore,http://www.mysore.org.uk/temples/chamundi-temple.html#,Chamundi Temple Mysore,,India,Karn_taka,Mysore,12.272538,76.670654,,holy site
East Asia,http://en.wikipedia.org/wiki/Orient,East Asia,The Orient,-9999,-9999,-9999,36,120,,region
Damascus,http://en.wikipedia.org/wiki/Damascus#,Damascus,,Syria,Dimashq,Damascus,33.5,36.3,,city/town
Hejaz,http://en.wikipedia.org/wiki/Hejaz#,Hejaz,,Saudi Arabia,Al Mad_nah,-9999,24.497637,38.506542,,region
Lausanne,http://www.lausanne.ch/homepage/index.php?Language=E#,Lausanne,,Switzerland,Vaud,Lausanne,46.533333,6.666667,,city/town
Central Asia,http://en.wikipedia.org/wiki/Central_Asia#,Central Asia,,-9999,-9999,-9999,46,66,,region
Birbeck College,http://www.bbk.ac.uk/#,Birbeck College,,United Kingdom,United Kingdom,London,51.522362,-0.130333,,college/university
Bay of Bengal Region,http://en.wikipedia.org/wiki/Bay_of_Bengal#,Bay of Bengal Region,,-9999,-9999,-9999,22.628428,89.303363,,region
Bay of Bengal,http://en.wikipedia.org/wiki/Bay_of_Bengal#,Bay of Bengal,,-9999,-9999,-9999,15,90,,bay
George Town,"http://en.wikipedia.org/wiki/George_Town,_Penang#",George Town,Penang,Malaysia,Pulau Pinang,George Town,5.364,100.311004,,city/town
Ganges Delta,http://en.wikipedia.org/wiki/Ganges_Delta#,Ganges Delta,,Bangladesh,Bangladesh,-9999,23,89,,delta
Rakhine State,http://en.wikipedia.org/wiki/Rakhine_State#,Rakhine State,Arakan State,Burma,Rakhine,-9999,19,94.25,,state/province
"Kedah, Negeri",http://en.wikipedia.org/wiki/Kedah#,"Kedah, Negeri",,Malaysia,Kedah,-9999,6,100.666667,,state/province
Chola,http://en.wikipedia.org/wiki/Chola_dynasty#,,Chola,India,-9999,-9999,11.127122,78.656894,Historic kingdom in southern India and Sri Lanka,historic jurisdiction
Kalinga,"http://en.wikipedia.org/wiki/Kalinga,_India#",,Kalinga,India,-9999,-9999,20.951666,85.098524,Historic state in eastern India,historic jurisdiction
Kampung Kling Mosque,http://en.wikipedia.org/wiki/Kampung_Kling_Mosque#,Kampung Kling Mosque,,Malaysia,Melaka,Melaka,2.196813,102.247505,,religious building
Lebuh Chulia,http://www.penang-traveltips.com/chulia-street.htm#,Lebuh Chulia,,Malaysia,Pulau Pinang,George Town,5.417462,100.337474,,road
Bengkulu,http://en.wikipedia.org/wiki/Bengkulu#,Bengkulu,,Indonesia,Bengkulu,-9999,-3.8,102.266667,,state/province
Karaikal,http://karaikal.gov.in/#,Karaikal,,India,Pondicherry,Karaikal,10.90691,79.825676,,city/town
N_gore,http://en.wikipedia.org/wiki/Nagore#,N_gore,,India,N_gore,-9999,10.816667,79.85,,city/town
Tamil Nadu,http://www.tn.gov.in/#,Tamil Nadu,,India,Tamil Nadu,-9999,11,78.5,,state/province
Maldives,http://www.maldivesinfo.gov.mv/home/#,Maldives,,Maldives,-9999,-9999,3.216284,73.252248,,country
Adam�s Peak,http://en.wikipedia.org/wiki/Sri_Pada_%28Sri_Lanka%29#,Adam�s Peak,,Sri Lanka,Sabaragamuwa,-9999,6.8088,80.4972,,mountain region
Penang Harbor,http://www.sea-seek.com/?geo=8391#,Penang Harbor,,Malaysia,Pulau Pinang,-9999,5.416667,100.366667,,port
Telok Ayer Street,http://en.wikipedia.org/wiki/Telok_Ayer#,Telok Ayer Street,,Singapore,Singapore,Singapore,1.281016,103.847727,,road
South China Sea,http://en.wikipedia.org/wiki/South_China_Sea#,South China Sea,,-9999,-9999,-9999,15,115,,sea
