monopoly,exclusive control of trade in (or supply of) a commodity,http://en.wikipedia.org/wiki/Monopoly,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colonialism,the political control of one country by another,http://en.wikipedia.org/wiki/Colonialism,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kings of Siak,"rulers of the Siak sultanate (1723-1946), which is today part of Indonesia",http://en.wikipedia.org/wiki/Sultanate_of_Siak_Sri_Indrapura,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pontianak sultanate,sultanate established in Pontianak (part of Indonesia today) in 1771 by explorers from Hadhramaut,http://en.wikipedia.org/wiki/Pontianak_Sultanate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zamzam water,water from a well near the Ka'aba in Mecca,http://en.wikipedia.org/wiki/Zamzam_Well,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilyas Shahi dynasty,"dynasty based in Bengal, India (1342-1487)",http://en.wikipedia.org/wiki/Ilyas_Shahi_dynasty,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussain Shahi dynasty,"dynasty based in Bengal, India (1494-1538)",http://en.wikipedia.org/wiki/Hussain_Shahi_dynasty,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kashmir Sultanate,"Kashmir was ruled by independent sultans from 1320 to 1586, after which it was taken by the Mughals",http://en.wikipedia.org/wiki/Kashmir#Muslim_rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shia,"one of two main branches of Islam, it holds the fourth caliph Ali to be the true successor of Muhammad",http://en.wikipedia.org/wiki/Shia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jihad,"an Islamic concept that, among other things, can mean struggle against unbelievers",http://en.wikipedia.org/wiki/Jihad,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunna,"the words and deeds of Muhammad, the Prophet of Islam",http://en.wikipedia.org/wiki/Sunnah,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unani medicine,a system of medicine practiced in parts of South Asia thought to be derived via medieval Muslim physicians from Byzantine Greece,http://en.wikipedia.org/wiki/Unani,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ottoman,"a Muslim empire that lasts from 1299 to 1923. Established in Anatolia first, it ruled much of southeastern Europe, western Asia and North Africa at the height of its power",http://en.wikipedia.org/wiki/Ottoman_Empire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
